Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
5700331915,220.22248094347816,222.1579006399432,225.22827710747427,330.8519918090794,0.01,0.0,0.0,Group 2,A,1100857.4291085,1650589.973549,C,0.0,0.0,0.01
6100612093,220.22248094347816,222.1579006399432,225.22827710747427,330.8519918090794,0.0,0.15,0.0,Group 2,B,1100855.4161085,1650575.208549,B,0.0,0.15,0.0
6000143127,220.25063905754135,222.1827120299445,225.23329609762717,291.13348982337936,0.0,0.19,0.0,Group 2,B,1100861.0331085,1650620.4605490002,B,0.0,0.19,0.0
30300925,228.7128101055801,229.17039051178733,229.48234722112932,87.10954993531685,1.39,0.0,0.0,Group 1,A,1101001.9071085,1650852.789549,A,1.39,0.0,0.0
18712668,228.7128101055801,229.17039051178733,229.48234722112932,87.10954993531685,0.0,0.0,0.0,Group 1,C,1100997.8781085,1650852.752549,C,0.0,0.0,0.0
17306829,229.30290719417482,229.49935285674167,229.7213072710156,46.89737720433402,0.0,0.15,0.0,Group 1,B,1101037.7901085,1650858.2375490002,C,0.0,0.0,0.15
28843472,227.40659212183644,226.55188581563118,228.45322103934777,85.57384876636817,0.08,0.0,0.0,Group 1,A,1101158.5821085,1650862.637549,C,0.0,0.0,0.08
5600149826,226.36457386588984,225.1761085748631,227.76626630223942,123.58230624905069,0.0,0.0,0.06,Group 1,C,1101197.7191085,1650867.124549,A,0.06,0.0,0.0
15694297,226.36457386588984,225.1761085748631,227.76626630223942,123.58230624905069,0.01,0.0,0.0,Group 1,A,1101212.7941085,1650867.473549,A,0.01,0.0,0.0
22015034,223.79710543336859,222.0619100340448,226.05448880461907,244.36617677572187,0.08,0.0,0.0,Group 1,A,1101288.7901085,1650823.0655490002,C,0.0,0.0,0.08
15074857,223.22837092829116,221.99741253678638,225.7815684627253,319.93314675701043,0.18,0.0,0.0,Group 1,A,1101317.7941085,1650795.814549,A,0.18,0.0,0.0
